OBJECTID;Intercept;TPT;PP;JPM;IKK;APS;RRLS;PSAM;GR;y;yhat;residual;CV_Score;Stud_residual;Intercept_SE;TPT_SE;PP_SE;JPM_SE;IKK_SE;APS_SE;RRLS_SE;PSAM_SE;GR_SE;Intercept_TV;TPT_TV;PP_TV;JPM_TV;IKK_TV;APS_TV;RRLS_TV;PSAM_TV;GR_TV;Local_R2;LAT;LONG;Intercept_p;TPT_p;PP_p;JPM_p;IKK_p;APS_p;RRLS_p;PSAM_p;GR_p;hasil.GWPRBISQUR$SDF$Local_R2;
21;21;-0.000438003985896551;0.0160869552578809;0.000862350981755989;-0.000118700983081565;0.010199087104157;0.0339827039073352;252.054.609.815.226;0.00300961621658062;0.184514846282781;-105.166.666.666.668;-112.089.825.578.499;0.0692315891183153;0;111.396.701.044.574;0.0163166071837336;0.0419545644949742;0.000125908194569514;0.0002421008061556;0.00899592381255033;0.0489648939917377;0.230736258397407;0.00665987653351632;211.682.915.348.946;-0.0268440602243099;0.383437546105572;68.490.457.249.777;-0.490295695278583;113.374.538.476.284;0.694021800865523;109.239.272.390.862;0.451902704417192;0.0871656770120627;0.990534724941935;-149.958;11.329.033;0.979;0.702;0;0.625;0.26;0.49;0;0.653;0.931;0.990534724941935
22;22;0.00132135361781385;-0.0312274862932226;0.000774044997919999;-1,59E+08;0.00538584565711819;0.018493712536428;257.038.615.706.632;0.00479714521982276;-0.74300656329811;-111.166.666.666.666;-102.469.004.269.784;-0.0869766239688248;0;-150.452.051.837.529;0.0165547519736262;0.0268574308945895;0.000142811190289945;0.000245220866322005;0.00958374063260966;0.0424846264607543;0.234370154547287;0.00589604447709363;166.077.267.972.649;0.0798171799806445;-116.271.308.360.747;542.005.844.463.924;-0.0646794441806471;0.561977401474358;0.435303639859274;109.672.076.721.173;0.813620934926774;-0.44738607057317;0.989652417842536;-294.348;11.537.565;0.937;0.248;0;0.949;0.576;0.665;0;0.418;0.656;0.989652417842536
23;23;0.00175782321560827;0.044333179995915;0.000914208508045584;0.000335485449599845;0.0125933058464776;0.0518098537565031;231.239.981.951.852;0.00486291379610775;-100.208.828.657.343;-123.333.333.333.333;-119.260.195.847.923;-0.0407313748540996;0;-0.711067258472971;0.0132878665826755;0.0324624694185894;9,28E+09;0.00135068951545123;0.00624697522963422;0.0383304929901535;0.210967390939095;0.00566216081297711;156.736.272.142.691;0.132287843550453;136.567.490.982.457;984.696.696.512.227;0.248380879367208;201.590.455.917.575;135.166.155.493.518;109.609.348.118.928;0.858844168636544;-0.639346765668342;0.991989690464205;0.78844;116.242;0.895;0.176;0;0.804;0.047;0.18;0;0.393;0.524;0.991989690464205
24;24;0.00157364995062931;0.0725038767577219;0.000957492919522291;-4,18E+09;0.0134778240675253;0.0567565647909356;232.750.728.048.461;0.00159939454078192;-0.87830738606749;-102.666.666.666.666;-108.729.904.557.548;0.0606323789088199;0;108.693.836.243.999;0.0158118938261143;0.0417651527009241;0.000107472007866617;0.00175145339765106;0.00716641032469493;0.046373652064702;0.240640829044051;0.00640593111167238;187.257.305.796.324;0.0995231796984579;173.598.974.429.507;890.923.077.114.766;-0.0238428980008327;188.069.388.394.937;122.389.680.915.678;967.212.126.774.442;0.249674015049527;-0.469037713819726;0.993612496321968;272.594;116.911;0.921;0.086;0;0.981;0.064;0.225;0;0.803;0.64;0.993612496321968
25;25;0.000474553909074558;0.00544990748113072;0.000965541690520218;-0.00159924029430096;-0.00450403159868758;0.0814185863247093;219.181.258.159.981;-0.000761937165300493;-110.422.284.231.494;-1.155;-116.563.747.307.159;0.0106374730715846;0;0.166948135839859;0.0130326479941731;0.0331966483863978;0.000108773814710439;0.00132524622972841;0.00466751152275155;0.0405017362675595;0.186296903968849;0.00445901989435583;132.915.600.824.902;0.0364127005721885;0.164170413160258;887.660.043.081.637;-120.674.955.221.619;-0.964974928660145;201.024.928.380.473;117.651.583.837.717;-0.170875480117266;-0.830769928783303;0.99386970490141;0.65557;12.409.015;0.971;0.87;0;0.231;0.338;0.048;0;0.865;0.409;0.99386970490141
26;26;0.00101611951187234;-0.0417046400348582;0.000791158968477138;-0.000312168904093295;0.00264735109775738;0.0473956734934823;229.677.174.708.592;0.00462112570293517;-155.238.504.102.671;-124.166.666.666.667;-12.131.374.034.288;-0.0285292632378749;0;-0.553228738316657;0.0132899041148451;0.0408888233880614;0.000118552388285296;0.00158348764929212;0.00679843596581874;0.0458897377750592;0.196431742022039;0.00576153570101964;169.369.526.050.879;0.0764580017351151;-10.199.520.695.192;667.349.667.029.243;-0.197140094040421;0.389405903220647;103.281.639.406.625;116.924.674.364.911;0.802064925522783;-0.916566915680195;0.993044437236519;-169.378;12.080.886;0.939;0.311;0;0.844;0.698;0.305;0;0.425;0.362;0.993044437236519
27;27;0.00140597259883583;-0.0697546303928888;0.000736862412413922;0.00158806183356811;0.0105498042184361;0.0148528839114941;22.371.979.913.043;0.0130005714691556;-18.029.604.282.758;-130.833.333.333.332;-131.372.580.612.846;0.005392472795134;0;0.105301011921306;0.0142479529346452;0.0409665954637295;0.000121248193873583;0.0014253871096364;0.00657046198647451;0.0466151487091933;0.224742451425521;0.00569445874039192;177.943.285.383.914;0.0986789193707316;-170.271.973.063.144;60.773.062.993.598;111.412.669.781.559;160.564.116.193.856;0.318627835001733;995.449.670.106.362;228.302.145.328.405;-101.322.195.124.469;0.991722032161203;-364.467;11.994.719;0.922;0.093;0;0.269;0.112;0.751;0;0.025;0.314;0.991722032161203
28;28;0.00118274177115291;-0.0601303325171595;0.000744790352303097;0.000707888149078632;0.00636268705426972;0.0184763971893771;22.780.970.757.907;0.00975639371188178;-158.585.856.509.129;-130.833.333.333.334;-134.395.134.180.504;0.0356180084717028;0;0.529562674308337;0.0135818589177777;0.0402185551437694;0.0001258106121706;0.00141226187799003;0.006452456109595;0.0463421806412775;0.213299963263669;0.00544945675029924;171.119.841.739.937;0.0870824662745385;-149.508.932.636.221;591.993.266.270.065;0.501244252295557;0.986087614731422;0.398695031906202;10.680.250.671.092;179.034.244.309.693;-0.926753174246987;0.99221288356754;-354.912;12.172.796;0.931;0.139;0;0.618;0.327;0.691;0;0.077;0.357;0.99221288356754
29;29;0.000286648359513975;-0.0231437084637085;0.000839421157270044;-0.00135017045217299;-0.00113401694004196;0.0375412719601347;233.148.469.439.041;0.00239642059203264;-0.690032771392666;-1.44;-150.741.073.132.089;0.0674107313208954;0;109.428.467.383.474;0.0132922350682305;0.0403366876139723;0.00011984808301378;0.00141028875289018;0.00549971671391831;0.0455229001062815;0.202965087059536;0.00472254788270093;145.670.588.907.372;0.0215650985739101;-0.573763237209685;700.404.325.343.715;-0.957371637124679;-0.206195518611361;0.824667845688385;114.871.218.896.209;0.507442306897708;-0.473693953301335;0.993725798353672;0.71862;12.245.559;0.983;0.568;0;0.341;0.837;0.412;0;0.613;0.637;0.993725798353672
30;30;0.00133188323409762;-0.0507200737824428;0.000795989248522081;0.000437966265850107;0.0043413739641985;0.0505642695272089;223.363.738.730.676;0.00763672343220671;-182.086.212.122.977;-145.333.333.333.335;-14.149.451.254.741;-0.0383882078592495;0;-0.744075866077692;0.0146791465184981;0.0437441781325973;0.00012548684996272;0.00167473923366059;0.00828760499802352;0.0508782813428383;0.23228208837034;0.00741157883965894;182.540.308.840.563;0.0907330158752237;-115.947.026.433.324;634.320.846.175.162;0.261513110248701;0.523839392108318;0.993828175650953;961.605.521.535.328;103.037.741.315.562;-0.997512348256283;0.9921648955408;-249.745;1.193.919;0.928;0.25;0;0.794;0.602;0.323;0;0.306;0.322;0.9921648955408
